,airline_name,crawling_date,departure_airport,destination_airport,date,travel_duration,departure_time,arrival_time,transit,transit_duration,price,tavg_departure,tmin_departure,tmax_departure,prcp_departure,wdir_departure,wspd_departure,wpgt_departure,pres_departure,tavg_destination,tmin_destination,tmax_destination,prcp_destination,wdir_destination,wspd_destination,wpgt_destination,pres_destination,Open,High,Low,Close,Adj Close,Volume
694,KLM,2024-08-26,FRA,PVG,2024-08-27,29:50,11:45,23:35,True,14:15,1578.0,20.1,12.9,27.0,0.0,54.0,10.0,22.2,1021.1,30.7,28.3,33.9,1.2,206.0,9.7,,1001.4,7.659999847412109,7.889999866485596,7.630000114440918,7.820000171661377,7.820000171661377,1430633.0
695,KLM,2024-08-26,FRA,JFK,2024-08-27,12:10,07:00,13:10,True,02:40,2986.0,20.1,12.9,27.0,0.0,54.0,10.0,22.2,1021.1,24.0,18.0,30.6,0.0,131.0,13.3,,1017.5,7.659999847412109,7.889999866485596,7.630000114440918,7.820000171661377,7.820000171661377,1430633.0
696,KLM,2024-08-26,FRA,DXB,2024-08-27,09:15,14:20,23:00,True,01:20,760.0,20.1,12.9,27.0,0.0,54.0,10.0,22.2,1021.1,36.9,33.1,40.8,,11.0,12.1,,999.1,7.659999847412109,7.889999866485596,7.630000114440918,7.820000171661377,7.820000171661377,1430633.0
697,KLM,2024-08-26,FRA,SAW,2024-08-27,08:05,11:40,16:05,True,03:30,281.0,20.1,12.9,27.0,0.0,54.0,10.0,22.2,1021.1,26.4,23.4,30.0,0.5,35.0,17.1,,1011.6,7.659999847412109,7.889999866485596,7.630000114440918,7.820000171661377,7.820000171661377,1430633.0
698,KLM,2024-08-26,FRA,PMI,2024-08-27,07:20,12:30,14:25,True,03:50,586.0,20.1,12.9,27.0,0.0,54.0,10.0,22.2,1021.1,24.6,20.0,29.6,0.0,159.0,9.8,,1015.8,7.659999847412109,7.889999866485596,7.630000114440918,7.820000171661377,7.820000171661377,1430633.0
699,KLM,2024-08-26,FRA,LHR,2024-08-27,04:45,10:15,10:45,True,02:05,548.0,20.1,12.9,27.0,0.0,54.0,10.0,22.2,1021.1,18.4,14.2,23.7,0.0,176.0,14.7,37.0,1017.7,7.659999847412109,7.889999866485596,7.630000114440918,7.820000171661377,7.820000171661377,1430633.0
700,KLM,2024-08-26,FRA,MUC,2024-08-27,04:30,21:00,22:25,True,01:50,972.0,20.1,12.9,27.0,0.0,54.0,10.0,22.2,1021.1,18.3,12.9,24.6,0.0,77.0,8.6,31.7,1019.9,7.659999847412109,7.889999866485596,7.630000114440918,7.820000171661377,7.820000171661377,1430633.0
701,KLM,2024-08-26,FRA,HAM,2024-08-27,04:50,10:45,11:50,True,02:35,1295.0,20.1,12.9,27.0,0.0,54.0,10.0,22.2,1021.1,18.8,12.7,25.0,0.0,157.0,9.2,27.8,1022.7,7.659999847412109,7.889999866485596,7.630000114440918,7.820000171661377,7.820000171661377,1430633.0
702,Lufthansa,2024-08-26,FRA,MUC,2024-08-27,00:55,15:15,16:10,False,00:00,369.0,20.1,12.9,27.0,0.0,54.0,10.0,22.2,1021.1,18.3,12.9,24.6,0.0,77.0,8.6,31.7,1019.9,5.691999912261963,5.875999927520752,5.691999912261963,5.788000106811523,5.788000106811523,5012018.0
703,Lufthansa,2024-08-26,FRA,HAM,2024-08-27,01:05,21:15,22:20,False,00:00,407.08,20.1,12.9,27.0,0.0,54.0,10.0,22.2,1021.1,18.8,12.7,25.0,0.0,157.0,9.2,27.8,1022.7,5.691999912261963,5.875999927520752,5.691999912261963,5.788000106811523,5.788000106811523,5012018.0
704,QatarAirways,2024-08-27,FRA,BER,2024-08-28,17:05,20:50,13:55,True,05:10,1.427,20.6,13.4,28.5,,258.0,8.8,22.2,1017.0,22.0,15.1,29.3,,107.0,13.7,31.5,1020.5,,,,,,
705,QatarAirways,2024-08-27,FRA,HAM,2024-08-28,14:35,17:15,07:50,True,02:05,5.099,20.6,13.4,28.5,,258.0,8.8,22.2,1017.0,21.5,14.8,27.7,,108.0,13.5,33.3,1019.2,,,,,,
706,QatarAirways,2024-08-27,FRA,LHR,2024-08-28,17:25,20:50,13:15,True,04:15,2.925,20.6,13.4,28.5,,258.0,8.8,22.2,1017.0,19.2,14.2,24.7,,162.0,10.4,25.9,1013.9,,,,,,
707,QatarAirways,2024-08-27,FRA,SAW,2024-08-28,11:40,17:15,05:55,True,01:25,965.0,20.6,13.4,28.5,,258.0,8.8,22.2,1017.0,25.4,20.0,28.9,,55.0,10.8,,1013.9,,,,,,
708,QatarAirways,2024-08-27,FRA,DXB,2024-08-28,08:00,17:15,03:15,True,00:45,478.0,20.6,13.4,28.5,,258.0,8.8,22.2,1017.0,36.5,32.7,40.7,,342.0,12.3,,999.6,,,,,,
709,KLM,2024-08-27,FRA,HAM,2024-08-28,04:05,13:15,14:20,True,01:45,1295.0,20.6,13.4,28.5,,258.0,8.8,22.2,1017.0,21.5,14.8,27.7,,108.0,13.5,33.3,1019.2,7.840000152587891,7.900000095367432,7.75,7.803999900817871,7.803999900817871,643112.0
710,Lufthansa,2024-08-27,FRA,BER,2024-08-28,01:10,14:45,15:55,False,00:00,333.6,20.6,13.4,28.5,,258.0,8.8,22.2,1017.0,22.0,15.1,29.3,,107.0,13.7,31.5,1020.5,5.803999900817871,5.826000213623047,5.765999794006348,5.796000003814697,5.796000003814697,2729356.0
711,KLM,2024-08-27,FRA,SAW,2024-08-28,08:05,11:40,16:05,True,03:30,281.0,20.6,13.4,28.5,,258.0,8.8,22.2,1017.0,25.4,20.0,28.9,,55.0,10.8,,1013.9,7.840000152587891,7.900000095367432,7.75,7.803999900817871,7.803999900817871,643112.0
712,KLM,2024-08-27,FRA,PMI,2024-08-28,04:45,12:30,14:25,True,01:20,1140.0,20.6,13.4,28.5,,258.0,8.8,22.2,1017.0,25.9,20.7,30.5,,134.0,10.1,,1015.5,7.840000152587891,7.900000095367432,7.75,7.803999900817871,7.803999900817871,643112.0
713,KLM,2024-08-27,FRA,LHR,2024-08-28,07:00,15:55,16:15,True,04:25,548.0,20.6,13.4,28.5,,258.0,8.8,22.2,1017.0,19.2,14.2,24.7,,162.0,10.4,25.9,1013.9,7.840000152587891,7.900000095367432,7.75,7.803999900817871,7.803999900817871,643112.0
714,KLM,2024-08-27,FRA,MUC,2024-08-28,05:15,15:35,17:00,True,02:35,789.0,20.6,13.4,28.5,,258.0,8.8,22.2,1017.0,21.1,14.6,29.6,,32.0,5.2,17.0,1017.0,7.840000152587891,7.900000095367432,7.75,7.803999900817871,7.803999900817871,643112.0
715,KLM,2024-08-27,FRA,BER,2024-08-28,03:30,12:30,13:45,True,01:00,1296.0,20.6,13.4,28.5,,258.0,8.8,22.2,1017.0,22.0,15.1,29.3,,107.0,13.7,31.5,1020.5,7.840000152587891,7.900000095367432,7.75,7.803999900817871,7.803999900817871,643112.0
716,KLM,2024-08-27,FRA,PVG,2024-08-28,22:55,16:00,08:55,True,04:30,3673.0,20.6,13.4,28.5,,258.0,8.8,22.2,1017.0,29.3,27.0,31.6,,262.0,8.5,,1003.0,7.840000152587891,7.900000095367432,7.75,7.803999900817871,7.803999900817871,643112.0
717,Lufthansa,2024-08-27,FRA,HAM,2024-08-28,01:05,20:15,21:20,False,00:00,313.08,20.6,13.4,28.5,,258.0,8.8,22.2,1017.0,21.5,14.8,27.7,,108.0,13.5,33.3,1019.2,5.803999900817871,5.826000213623047,5.765999794006348,5.796000003814697,5.796000003814697,2729356.0
718,Lufthansa,2024-08-27,FRA,MUC,2024-08-28,00:55,15:15,16:10,False,00:00,369.0,20.6,13.4,28.5,,258.0,8.8,22.2,1017.0,21.1,14.6,29.6,,32.0,5.2,17.0,1017.0,5.803999900817871,5.826000213623047,5.765999794006348,5.796000003814697,5.796000003814697,2729356.0
719,Lufthansa,2024-08-27,FRA,LHR,2024-08-28,01:25,16:00,16:25,False,00:00,295.8,20.6,13.4,28.5,,258.0,8.8,22.2,1017.0,19.2,14.2,24.7,,162.0,10.4,25.9,1013.9,5.803999900817871,5.826000213623047,5.765999794006348,5.796000003814697,5.796000003814697,2729356.0
720,Lufthansa,2024-08-27,FRA,PMI,2024-08-28,02:10,13:05,15:15,False,00:00,315.98,20.6,13.4,28.5,,258.0,8.8,22.2,1017.0,25.9,20.7,30.5,,134.0,10.1,,1015.5,5.803999900817871,5.826000213623047,5.765999794006348,5.796000003814697,5.796000003814697,2729356.0
721,Lufthansa,2024-08-27,FRA,SAW,2024-08-28,03:00,09:05,13:05,False,00:00,243.65,20.6,13.4,28.5,,258.0,8.8,22.2,1017.0,25.4,20.0,28.9,,55.0,10.8,,1013.9,5.803999900817871,5.826000213623047,5.765999794006348,5.796000003814697,5.796000003814697,2729356.0
722,Lufthansa,2024-08-27,FRA,DXB,2024-08-28,06:30,14:05,22:35,False,00:00,1011.49,20.6,13.4,28.5,,258.0,8.8,22.2,1017.0,36.5,32.7,40.7,,342.0,12.3,,999.6,5.803999900817871,5.826000213623047,5.765999794006348,5.796000003814697,5.796000003814697,2729356.0
723,Lufthansa,2024-08-27,FRA,JFK,2024-08-28,10:55,07:50,12:45,True,01:15,1600.41,20.6,13.4,28.5,,258.0,8.8,22.2,1017.0,15.4,9.4,21.7,0.0,243.0,13.2,,1013.6,5.803999900817871,5.826000213623047,5.765999794006348,5.796000003814697,5.796000003814697,2729356.0
724,KLM,2024-08-27,FRA,DXB,2024-08-28,14:00,14:20,23:00,True,06:10,659.0,20.6,13.4,28.5,,258.0,8.8,22.2,1017.0,36.5,32.7,40.7,,342.0,12.3,,999.6,7.840000152587891,7.900000095367432,7.75,7.803999900817871,7.803999900817871,643112.0
725,Lufthansa,2024-08-27,FRA,PVG,2024-08-28,12:15,15:00,09:15,False,00:00,1521.76,20.6,13.4,28.5,,258.0,8.8,22.2,1017.0,29.3,27.0,31.6,,262.0,8.5,,1003.0,5.803999900817871,5.826000213623047,5.765999794006348,5.796000003814697,5.796000003814697,2729356.0
